filepath,filename,pitch,string,fret,onset,offset
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_0.wav,BS_1_EQ_1_FS_NO_1_0.wav,E0,1,0,0.137,3.823
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_1.wav,BS_1_EQ_1_FS_NO_1_1.wav,F0,1,1,0.046,3.823
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_10.wav,BS_1_EQ_1_FS_NO_1_10.wav,D1,1,10,0.182,3.14
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_11.wav,BS_1_EQ_1_FS_NO_1_11.wav,D#1,1,11,0.046,3.026
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_12.wav,BS_1_EQ_1_FS_NO_1_12.wav,E1,1,12,0.273,3.3
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_2.wav,BS_1_EQ_1_FS_NO_1_2.wav,F#0,1,2,0.182,3.777
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_3.wav,BS_1_EQ_1_FS_NO_1_3.wav,G0,1,3,0.205,3.686
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_4.wav,BS_1_EQ_1_FS_NO_1_4.wav,G#0,1,4,0.205,3.345
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_5.wav,BS_1_EQ_1_FS_NO_1_5.wav,A0,1,5,0.228,3.55
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_6.wav,BS_1_EQ_1_FS_NO_1_6.wav,A#0,1,6,0.114,3.049
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_7.wav,BS_1_EQ_1_FS_NO_1_7.wav,B0,1,7,0.046,3.095
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_8.wav,BS_1_EQ_1_FS_NO_1_8.wav,C1,1,8,0.296,3.413
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_1_9.wav,BS_1_EQ_1_FS_NO_1_9.wav,C#1,1,9,0.046,2.776
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_0.wav,BS_1_EQ_1_FS_NO_2_0.wav,A0,2,0,0.091,3.368
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_1.wav,BS_1_EQ_1_FS_NO_2_1.wav,A#0,2,1,0.137,3.049
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_10.wav,BS_1_EQ_1_FS_NO_2_10.wav,G1,2,10,0.137,3.118
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_11.wav,BS_1_EQ_1_FS_NO_2_11.wav,G#1,2,11,0.159,3.004
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_12.wav,BS_1_EQ_1_FS_NO_2_12.wav,A1,2,12,0.159,3.641
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_2.wav,BS_1_EQ_1_FS_NO_2_2.wav,B0,2,2,0.205,3.436
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_3.wav,BS_1_EQ_1_FS_NO_2_3.wav,C1,2,3,0.205,3.163
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_4.wav,BS_1_EQ_1_FS_NO_2_4.wav,C#1,2,4,0.046,2.981
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_5.wav,BS_1_EQ_1_FS_NO_2_5.wav,D1,2,5,0.364,3.049
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_6.wav,BS_1_EQ_1_FS_NO_2_6.wav,D#1,2,6,0.159,3.049
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_7.wav,BS_1_EQ_1_FS_NO_2_7.wav,E1,2,7,0.046,3.482
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_8.wav,BS_1_EQ_1_FS_NO_2_8.wav,F1,2,8,0.046,3.527
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_2_9.wav,BS_1_EQ_1_FS_NO_2_9.wav,F#1,2,9,0.091,3.026
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_0.wav,BS_1_EQ_1_FS_NO_3_0.wav,D1,3,0,0.455,3.482
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_1.wav,BS_1_EQ_1_FS_NO_3_1.wav,D#1,3,1,0.387,3.618
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_10.wav,BS_1_EQ_1_FS_NO_3_10.wav,C2,3,10,0.046,3.482
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_11.wav,BS_1_EQ_1_FS_NO_3_11.wav,C#2,3,11,0.228,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_12.wav,BS_1_EQ_1_FS_NO_3_12.wav,D2,3,12,0.091,3.231
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_2.wav,BS_1_EQ_1_FS_NO_3_2.wav,E1,3,2,0.205,3.777
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_3.wav,BS_1_EQ_1_FS_NO_3_3.wav,F1,3,3,0.046,3.527
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_4.wav,BS_1_EQ_1_FS_NO_3_4.wav,F#1,3,4,0.046,3.436
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_5.wav,BS_1_EQ_1_FS_NO_3_5.wav,G1,3,5,0.182,3.209
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_6.wav,BS_1_EQ_1_FS_NO_3_6.wav,G#1,3,6,0.205,3.14
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_7.wav,BS_1_EQ_1_FS_NO_3_7.wav,A1,3,7,0.159,2.594
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_8.wav,BS_1_EQ_1_FS_NO_3_8.wav,A#1,3,8,0.091,3.118
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_3_9.wav,BS_1_EQ_1_FS_NO_3_9.wav,B1,3,9,0.114,3.072
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_0.wav,BS_1_EQ_1_FS_NO_4_0.wav,G1,4,0,0.182,3.095
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_1.wav,BS_1_EQ_1_FS_NO_4_1.wav,G#1,4,1,0.091,3.3
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_10.wav,BS_1_EQ_1_FS_NO_4_10.wav,F2,4,10,0.137,2.503
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_11.wav,BS_1_EQ_1_FS_NO_4_11.wav,F#2,4,11,0.273,2.64
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_12.wav,BS_1_EQ_1_FS_NO_4_12.wav,G2,4,12,0.137,2.822
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_2.wav,BS_1_EQ_1_FS_NO_4_2.wav,A1,4,2,0.114,3.394
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_3.wav,BS_1_EQ_1_FS_NO_4_3.wav,A#1,4,3,0.159,2.731
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_4.wav,BS_1_EQ_1_FS_NO_4_4.wav,B1,4,4,0.228,2.913
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_5.wav,BS_1_EQ_1_FS_NO_4_5.wav,C2,4,5,0.182,2.753
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_6.wav,BS_1_EQ_1_FS_NO_4_6.wav,C#2,4,6,0.114,2.844
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_7.wav,BS_1_EQ_1_FS_NO_4_7.wav,D2,4,7,0.137,2.458
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_8.wav,BS_1_EQ_1_FS_NO_4_8.wav,D#2,4,8,0.046,2.708
IDMT-SMT-BASS/ES/NO/BS_1_EQ_1_FS_NO_4_9.wav,BS_1_EQ_1_FS_NO_4_9.wav,E2,4,9,0.137,3.413
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_0.wav,BS_1_EQ_2_FS_NO_1_0.wav,E0,1,0,0.091,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_1.wav,BS_1_EQ_2_FS_NO_1_1.wav,F0,1,1,0.387,5.074
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_10.wav,BS_1_EQ_2_FS_NO_1_10.wav,D1,1,10,0.25,3.391
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_11.wav,BS_1_EQ_2_FS_NO_1_11.wav,D#1,1,11,0.319,3.413
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_12.wav,BS_1_EQ_2_FS_NO_1_12.wav,E1,1,12,0.341,3.459
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_2.wav,BS_1_EQ_2_FS_NO_1_2.wav,F#0,1,2,0.046,4.233
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_3.wav,BS_1_EQ_2_FS_NO_1_3.wav,G0,1,3,0.364,4.005
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_4.wav,BS_1_EQ_2_FS_NO_1_4.wav,G#0,1,4,0.046,3.868
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_5.wav,BS_1_EQ_2_FS_NO_1_5.wav,A0,1,5,0.046,3.823
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_6.wav,BS_1_EQ_2_FS_NO_1_6.wav,A#0,1,6,0.387,3.527
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_7.wav,BS_1_EQ_2_FS_NO_1_7.wav,B0,1,7,0.046,3.368
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_8.wav,BS_1_EQ_2_FS_NO_1_8.wav,C1,1,8,0.319,3.436
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_1_9.wav,BS_1_EQ_2_FS_NO_1_9.wav,C#1,1,9,0.364,3.322
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_0.wav,BS_1_EQ_2_FS_NO_2_0.wav,A0,2,0,0.137,3.504
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_1.wav,BS_1_EQ_2_FS_NO_2_1.wav,A#0,2,1,0.046,3.527
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_10.wav,BS_1_EQ_2_FS_NO_2_10.wav,G1,2,10,0.432,3.595
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_11.wav,BS_1_EQ_2_FS_NO_2_11.wav,G#1,2,11,0.046,3.641
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_12.wav,BS_1_EQ_2_FS_NO_2_12.wav,A1,2,12,0.341,3.686
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_2.wav,BS_1_EQ_2_FS_NO_2_2.wav,B0,2,2,0.046,3.595
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_3.wav,BS_1_EQ_2_FS_NO_2_3.wav,C1,2,3,0.364,3.709
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_4.wav,BS_1_EQ_2_FS_NO_2_4.wav,C#1,2,4,0.432,3.8
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_5.wav,BS_1_EQ_2_FS_NO_2_5.wav,D1,2,5,0.273,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_6.wav,BS_1_EQ_2_FS_NO_2_6.wav,D#1,2,6,0.046,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_7.wav,BS_1_EQ_2_FS_NO_2_7.wav,E1,2,7,0.046,3.686
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_8.wav,BS_1_EQ_2_FS_NO_2_8.wav,F1,2,8,0.387,3.732
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_2_9.wav,BS_1_EQ_2_FS_NO_2_9.wav,F#1,2,9,0.046,3.732
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_0.wav,BS_1_EQ_2_FS_NO_3_0.wav,D1,3,0,0.046,3.664
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_1.wav,BS_1_EQ_2_FS_NO_3_1.wav,D#1,3,1,0.182,3.618
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_10.wav,BS_1_EQ_2_FS_NO_3_10.wav,C2,3,10,0.478,3.777
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_11.wav,BS_1_EQ_2_FS_NO_3_11.wav,C#2,3,11,0.387,3.777
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_12.wav,BS_1_EQ_2_FS_NO_3_12.wav,D2,3,12,0.046,3.686
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_2.wav,BS_1_EQ_2_FS_NO_3_2.wav,E1,3,2,0.046,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_3.wav,BS_1_EQ_2_FS_NO_3_3.wav,F1,3,3,0.046,3.618
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_4.wav,BS_1_EQ_2_FS_NO_3_4.wav,F#1,3,4,0.046,3.573
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_5.wav,BS_1_EQ_2_FS_NO_3_5.wav,G1,3,5,0.046,3.686
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_6.wav,BS_1_EQ_2_FS_NO_3_6.wav,G#1,3,6,0.046,3.595
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_7.wav,BS_1_EQ_2_FS_NO_3_7.wav,A1,3,7,0.455,4.005
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_8.wav,BS_1_EQ_2_FS_NO_3_8.wav,A#1,3,8,0.25,3.368
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_3_9.wav,BS_1_EQ_2_FS_NO_3_9.wav,B1,3,9,0.046,3.777
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_4_0.wav,BS_1_EQ_2_FS_NO_4_0.wav,G1,4,0,0.091,3.846
IDMT-SMT-BASS/ES/NO/BS_1_EQ_2_FS_NO_4_1.wav,BS_1_EQ_2_FS_NO_4_1.wav,G#1,4,1,0.523,3.595
