str,fret,note,freq
1,0,E1,41
1,1,F1,43
1,2,F#1,46
1,3,G1,49
1,4,G#1,52
1,5,A1,55
1,6,A#1,58
1,7,B1,61
1,8,C2,65
1,9,C#2,69
1,10,D2,73
1,11,D#2,77
1,12,E2,82
2,0,A1,55
2,1,A#1,58
2,2,B1,61
2,3,C2,65
2,4,C#2,69
2,5,D2,73
2,6,D#2,77
2,7,E2,82
2,8,F2,87
2,9,F#2,92
2,10,G2,98
2,11,G#2,104
2,12,A2,110
3,0,D2,73
3,1,D#2,77
3,2,E2,82
3,3,F2,87
3,4,F#2,92
3,5,G2,98
3,6,G#2,104
3,7,A2,110
3,8,A#2,116
3,9,B2,123
3,10,C3,130
3,11,C#3,138
3,12,D3,146
4,0,G2,98
4,1,G#2,104
4,2,A2,110
4,3,A#2,116
4,4,B2,123
4,5,C3,130
4,6,C#3,138
4,7,D3,146
4,8,D#3,155
4,9,E3,164
4,10,F3,174
4,11,F#3,185
4,12,G3,196
