IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_0.wav,BS_1_EQ_1_FS_NO_1_0.wav,E1,1,0,0.137,3.823
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_1.wav,BS_1_EQ_1_FS_NO_1_1.wav,F1,1,1,0.046,3.823
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_10.wav,BS_1_EQ_1_FS_NO_1_10.wav,D2,1,10,0.182,3.14
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_11.wav,BS_1_EQ_1_FS_NO_1_11.wav,D#2,1,11,0.046,3.026
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_12.wav,BS_1_EQ_1_FS_NO_1_12.wav,E2,1,12,0.273,3.3
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_2.wav,BS_1_EQ_1_FS_NO_1_2.wav,F#1,1,2,0.182,3.777
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_3.wav,BS_1_EQ_1_FS_NO_1_3.wav,G1,1,3,0.205,3.686
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_4.wav,BS_1_EQ_1_FS_NO_1_4.wav,G#1,1,4,0.205,3.345
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_5.wav,BS_1_EQ_1_FS_NO_1_5.wav,A1,1,5,0.228,3.55
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_6.wav,BS_1_EQ_1_FS_NO_1_6.wav,A#1,1,6,0.114,3.049
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_7.wav,BS_1_EQ_1_FS_NO_1_7.wav,B1,1,7,0.046,3.095
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_8.wav,BS_1_EQ_1_FS_NO_1_8.wav,C2,1,8,0.296,3.413
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_1_9.wav,BS_1_EQ_1_FS_NO_1_9.wav,C#2,1,9,0.046,2.776
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_0.wav,BS_1_EQ_1_FS_NO_2_0.wav,A1,2,0,0.091,3.368
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_1.wav,BS_1_EQ_1_FS_NO_2_1.wav,A#1,2,1,0.137,3.049
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_10.wav,BS_1_EQ_1_FS_NO_2_10.wav,G2,2,10,0.137,3.118
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_11.wav,BS_1_EQ_1_FS_NO_2_11.wav,G#2,2,11,0.159,3.004
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_12.wav,BS_1_EQ_1_FS_NO_2_12.wav,A2,2,12,0.159,3.641
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_2.wav,BS_1_EQ_1_FS_NO_2_2.wav,B1,2,2,0.205,3.436
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_3.wav,BS_1_EQ_1_FS_NO_2_3.wav,C2,2,3,0.205,3.163
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_4.wav,BS_1_EQ_1_FS_NO_2_4.wav,C#2,2,4,0.046,2.981
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_5.wav,BS_1_EQ_1_FS_NO_2_5.wav,D2,2,5,0.364,3.049
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_6.wav,BS_1_EQ_1_FS_NO_2_6.wav,D#2,2,6,0.159,3.049
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_7.wav,BS_1_EQ_1_FS_NO_2_7.wav,E2,2,7,0.046,3.482
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_8.wav,BS_1_EQ_1_FS_NO_2_8.wav,F2,2,8,0.046,3.527
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_2_9.wav,BS_1_EQ_1_FS_NO_2_9.wav,F#2,2,9,0.091,3.026
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_0.wav,BS_1_EQ_1_FS_NO_3_0.wav,D2,3,0,0.455,3.482
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_1.wav,BS_1_EQ_1_FS_NO_3_1.wav,D#2,3,1,0.387,3.618
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_10.wav,BS_1_EQ_1_FS_NO_3_10.wav,C3,3,10,0.046,3.482
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_11.wav,BS_1_EQ_1_FS_NO_3_11.wav,C#3,3,11,0.228,3.573
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_12.wav,BS_1_EQ_1_FS_NO_3_12.wav,D3,3,12,0.091,3.231
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_2.wav,BS_1_EQ_1_FS_NO_3_2.wav,E2,3,2,0.205,3.777
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_3.wav,BS_1_EQ_1_FS_NO_3_3.wav,F2,3,3,0.046,3.527
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_4.wav,BS_1_EQ_1_FS_NO_3_4.wav,F#2,3,4,0.046,3.436
IDMT-SMT-BASS\ES\NO\BS_1_EQ_1_FS_NO_3_5.wav,BS_1_EQ_1_FS_NO_3_5.wav,G2,3,5,0.182,3.209
