Trial,Learning Rate,Dropout Rate,Activation Function,Convolution Layers,Filter Layers,Kernel Size,Fitness Score
1,1.0546218517236646e-05,0.22645024748262657,ELU,3,32,3,0.11985645495864172
2,6.360030713989516e-05,0.4529216899117159,ELU,2,64,3,0.12087476971127831
3,0.0005197914619544082,0.24659012318232773,ReLU,3,32,5,0.12279841348833584
4,0.00013300171547115457,0.26368685313887896,ELU,4,16,5,0.121688908666925
5,0.0008889468278201017,0.37623537512951355,ReLU,3,16,5,0.12181167510195055
6,1.2363626140774734e-05,0.23873092488983075,ReLU,1,64,2,0.11718379734201985
7,0.0037630899147316366,0.48747015173682084,Tanh,1,64,3,0.12221840742885187
8,0.009514806499591286,0.32853297750458277,ELU,4,32,7,0.12183321676383765
9,0.0001704520030369297,0.3082501482063525,ReLU,2,16,3,0.1217755607834378
10,0.00019334538993459147,0.36614057732210914,ReLU,1,32,3,0.12198178195645118
11,0.0009300577835408388,0.13556672093348826,Tanh,3,128,5,0.12181503671785268
12,0.0064605221628733205,0.49159438897115987,Tanh,2,64,7,0.1217762074318201
13,0.0022161318671502558,0.1583943546729068,Tanh,1,128,2,0.12404090997059099
14,0.0010875011728564473,0.13926903407081742,Tanh,3,128,2,0.12178767195064061
15,0.0021315881675462675,0.18717929817029555,ReLU,2,128,2,0.1242146377614034
16,0.002686810769658295,0.18361424210882837,Tanh,1,128,2,0.123692410804478
17,0.001977750658795211,0.10267749435472957,Tanh,2,128,2,0.12382459678721826
18,0.001847160687011176,0.1922164854443452,ReLU,1,128,2,0.12262026899670538
19,0.0004024175297297287,0.17832164450763566,Tanh,2,128,2,0.12239449833367037
20,0.004558941908820162,0.10133224934512836,ReLU,1,128,2,0.12321336201605489
